SerialNumber,sbin,Wafer LotID,Wafer No,Wafer X,Wafer Y
725GXX072XU00005SA,PASS,T0HGW3,4,1,52
725GXX072YU00005SA,PASS,T0HGW3,4,1,54
725GXX072YZ00005SA,PASS,T0HGW3,4,1,57
725GXX0730200005SA,PASS,T0HGW3,4,1,58
725GXX072YV00005SA,PASS,T0HGW3,4,1,59
725GXX0733300005SA,PASS,T0HGW3,4,1,60
725GXX072Z000005SA,PASS,T0HGW3,4,2,44
725GXX072Z400005SA,PASS,T0HGW3,4,2,45
725GXX072WU00005SA,PASS,T0HGW3,4,2,49
725GXX072XV00005SA,PASS,T0HGW3,4,2,53
725GXX0731800005SA,PASS,T0HGW3,4,2,55
725GXX072WV00005SA,PASS,T0HGW3,4,2,56
725GXX072WZ00005SA,PASS,T0HGW3,4,2,57
725GXX0733B00005SA,PASS,T0HGW3,4,2,58
725GXX0733600005SA,PASS,T0HGW3,4,2,60
725GXX072YY00005SA,PASS,T0HGW3,4,2,61
725GXX0730500005SA,PASS,T0HGW3,4,2,62
725GXX0730600005SA,PASS,T0HGW3,4,2,63
725GXX0732600005SA,PASS,T0HGW3,4,2,64
725GXX072XX00005SA,PASS,T0HGW3,4,2,65
725GXX072Z300005SA,PASS,T0HGW3,4,2,66
725GXX0732700005SA,PASS,T0HGW3,4,2,67
725GXX0733800005SA,PASS,T0HGW3,4,3,38
725GXX074TN00005SA,PASS,T0HGW3,4,3,66
725GXX074SL00005SA,PASS,T0HGW3,4,3,70
725GXX074PK00005SA,PASS,T0HGW3,4,3,72
725GXX074ND00005SA,PASS,T0HGW3,4,3,73
725GXX074RL00005SA,PASS,T0HGW3,4,3,74
725GXX074PG00005SA,PASS,T0HGW3,4,4,34
725GXX074TP00005SA,PASS,T0HGW3,4,4,73
725GXX074QH00005SA,PASS,T0HGW3,4,4,75
725GXX074QP00005SA,PASS,T0HGW3,4,4,77
725GXX074PY00005SA,PASS,T0HGW3,4,5,78
725GXX074U000005SA,PASS,T0HGW3,4,5,81
725GXX074UE00005SA,PASS,T0HGW3,4,6,30
725GXX074QU00005SA,PASS,T0HGW3,4,6,78
725GXX074SZ00005SA,PASS,T0HGW3,4,6,83
725GXX074S000005SA,PASS,T0HGW3,4,6,84
725GXX074R400005SA,PASS,T0HGW3,4,7,27
725GXX074P300005SA,PASS,T0HGW3,4,7,31
725GXX0730Z00005SA,PASS,T0HGW3,4,7,33
725GXX074P700005SA,PASS,T0HGW3,4,7,82
725GXX074TG00005SA,PASS,T0HGW3,4,7,83
725GXX074RG00005SA,PASS,T0HGW3,4,7,84
725GXX074RF00005SA,PASS,T0HGW3,4,7,85
725GXX073H400005SA,PASS,T0HGW3,4,8,24
725GXX073E600005SA,PASS,T0HGW3,4,8,31
725GXX074TK00005SA,PASS,T0HGW3,4,8,77
725GXX074Q800005SA,PASS,T0HGW3,4,8,87
725GXX073FQ00005SA,PASS,T0HGW3,4,11,19
725GXX073CM00005SA,PASS,T0HGW3,4,11,21
725GXX073BN00005SA,PASS,T0HGW3,4,11,91
725GXX073FW00005SA,PASS,T0HGW3,4,11,92
725GXX073G100005SA,PASS,T0HGW3,4,11,93
725GXX072MS00005SA,PASS,T0HGW3,4,12,17
725GXX072MM00005SA,PASS,T0HGW3,4,12,18
725GXX072HD00005SA,PASS,T0HGW3,4,12,19
725GXX072JE00005SA,PASS,T0HGW3,4,12,22
725GXX073DY00005SA,PASS,T0HGW3,4,12,94
725GXX072FE00005SA,PASS,T0HGW3,4,13,15
725GXX072F900005SA,PASS,T0HGW3,4,13,16
725GXX072HC00005SA,PASS,T0HGW3,4,13,17
725GXX072GG00005SA,PASS,T0HGW3,4,13,19
725GXX072GK00005SA,PASS,T0HGW3,4,13,21
725GXX072MZ00005SA,PASS,T0HGW3,4,13,92
725GXX072JT00005SA,PASS,T0HGW3,4,13,95
725GXX072J400005SA,PASS,T0HGW3,4,14,15
725GXX072KC00005SA,PASS,T0HGW3,4,14,17
725GXX072NC00005SA,PASS,T0HGW3,4,15,13
725GXX072NH00005SA,PASS,T0HGW3,4,15,14
725GXX072G500005SA,PASS,T0HGW3,4,15,15
725GXX072G100005SA,PASS,T0HGW3,4,15,16
725GXX072H600005SA,PASS,T0HGW3,4,15,19
725GXX071NB00005SA,PASS,T0HGW3,4,16,12
725GXX071M400005SA,PASS,T0HGW3,4,16,13
725GXX071L000005SA,PASS,T0HGW3,4,16,14
725GXX071M500005SA,PASS,T0HGW3,4,17,11
725GXX071M100005SA,PASS,T0HGW3,4,17,12
725GXX071R900005SA,PASS,T0HGW3,4,17,13
725GXX071L300005SA,PASS,T0HGW3,4,17,15
725GXX0724Y00005SA,PASS,T0HGW3,4,18,11
725GXX0724T00005SA,PASS,T0HGW3,4,18,12
725GXX0721Q00005SA,PASS,T0HGW3,4,19,10
725GXX0721K00005SA,PASS,T0HGW3,4,19,11
725GXX0725X00005SA,PASS,T0HGW3,4,19,13
725GXX0726L00005SA,PASS,T0HGW3,4,20,10
725GXX0721900005SA,PASS,T0HGW3,4,20,11
725GXX0721A00005SA,PASS,T0HGW3,4,21,11
725GXX07HVZ00005SA,PASS,T0HGW3,4,22,8
725GXX07HQN00005SA,PASS,T0HGW3,4,22,9
725GXX07HX700005SA,PASS,T0HGW3,4,22,11
725GXX07HRR00005SA,PASS,T0HGW3,4,22,13
725GXX07HW500005SA,PASS,T0HGW3,4,23,9
725GXX07HU000005SA,PASS,T0HGW3,4,23,10
725GXX07HTV00005SA,PASS,T0HGW3,4,23,11
725GXX07HX200005SA,PASS,T0HGW3,4,23,12
725GXX07JBM00005SA,PASS,T0HGW3,4,24,7
725GXX07J7D00005SA,PASS,T0HGW3,4,24,8
725GXX07J7H00005SA,PASS,T0HGW3,4,24,9
725GXX07JBL00005SA,PASS,T0HGW3,4,24,11
725GXX07JAQ00005SA,PASS,T0HGW3,4,25,6
725GXX07J9M00005SA,PASS,T0HGW3,4,25,7
725GXX07JBN00005SA,PASS,T0HGW3,4,25,9
725GXX07JBS00005SA,PASS,T0HGW3,4,25,10
725GXX07J7Y00005SA,PASS,T0HGW3,4,25,107
725GXX07H0400005SA,PASS,T0HGW3,4,26,5
725GXX07GWT00005SA,PASS,T0HGW3,4,26,7
725GXX07H0W00005SA,PASS,T0HGW3,4,26,10
725GXX07GUM00005SA,PASS,T0HGW3,4,27,5
725GXX076UR00005SA,PASS,T0HHP5,21,25,4
